[2022-05-13 13:52:19,035] ERROR: hello
[2022-05-13 13:53:38,431] ERROR: hello
[2022-05-13 13:54:55,486] ERROR: ()
[2022-05-17 14:51:53,477] ERROR: ('No requests were made to https://asdf.asdfjdjjkkk/',)
[2022-05-17 14:57:10,128] ERROR: ('No requests were made to https://asdf.asdfjdjjkkk/',)
[2022-05-17 14:57:46,940] ERROR: No requests were made to https://asdf.asdfjdjjkkk/
[2022-05-17 15:01:08,199] ERROR: 
[2022-05-17 15:01:26,103] ERROR: No requests were made to https://asdf.asdfjdjjkkk/
[2022-05-17 15:01:26,109] ERROR: ... skipping
[2022-05-17 15:02:37,416] ERROR: No requests were made to https://asdf.asdfjdjjkkk/
[2022-05-17 15:02:37,421] ERROR: https://asdf.asdfjdjjkkk/... skipping
[2022-05-18 14:58:49,415] ERROR: 503 raised while requesting https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-18 15:18:03,628] ERROR: No requests made to (https://asdfs.bbboadfa/)
[2022-05-18 15:18:03,640] ERROR: https://asdfs.bbboadfa/... skipping
[2022-05-18 15:18:32,192] ERROR: No requests made to (https://asdfsasdgajbjkooooo.com/)
[2022-05-18 15:18:32,197] ERROR: https://asdfsasdgajbjkooooo.com/... skipping
[2022-05-18 15:19:00,592] ERROR: No requests made to (https://asdfsasdgajbjkooooo.com/)
[2022-05-18 15:19:00,620] ERROR: https://asdfsasdgajbjkooooo.com/... skipping
[2022-05-18 15:20:03,169] ERROR: No requests made to (https://asdfsasdgajbjkooooo.com/)
[2022-05-18 15:20:21,301] ERROR: https://asdfsasdgajbjkooooo.com/... skipping
[2022-05-23 12:00:54,375] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 12:58:26,507] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 13:02:50,279] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 13:52:28,986] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:03:57,050] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:05:14,802] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:05:14,803] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:05:14,816] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:05:15,203] ERROR: 503 raised requesting https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 14:10:09,914] INFO: Processing #1/7
[2022-05-23 14:10:11,079] INFO: Processing #2/7
[2022-05-23 14:10:13,073] INFO: Processing #3/7
[2022-05-23 14:10:15,160] INFO: Processing #4/7
[2022-05-23 14:10:16,685] INFO: Processing #5/7
[2022-05-23 14:10:17,594] INFO: Processing #6/7
[2022-05-23 14:10:18,440] INFO: Processing #7/7
[2022-05-23 14:13:08,883] INFO: Processing #1/7
[2022-05-23 14:17:57,230] INFO: Processing #1/7
[2022-05-23 14:19:02,629] INFO: Processing #1/7
[2022-05-23 14:19:40,040] INFO: Processing #1/7
[2022-05-23 14:20:12,714] INFO: Processing #1/7
[2022-05-23 14:47:46,939] INFO: Processing #1/7
[2022-05-23 14:47:53,513] INFO: Processing #2/7
[2022-05-23 14:48:00,921] INFO: Processing #3/7
[2022-05-23 14:48:07,297] INFO: Processing #4/7
[2022-05-23 14:48:14,139] INFO: Processing #5/7
[2022-05-23 14:48:20,278] INFO: Processing #6/7
[2022-05-23 14:48:26,117] INFO: Processing #7/7
[2022-05-23 14:57:56,336] INFO: Processing #1/7
[2022-05-23 14:57:56,897] INFO: Processing #2/7
[2022-05-23 14:57:57,528] INFO: Processing #3/7
[2022-05-23 14:57:57,854] INFO: Processing #4/7
[2022-05-23 14:57:58,175] INFO: Processing #5/7
[2022-05-23 14:57:58,654] INFO: Processing #6/7
[2022-05-23 14:57:58,990] INFO: Processing #7/7
[2022-05-23 15:22:10,457] INFO: Processing #1/7
[2022-05-23 15:25:39,950] INFO: Processing #2/7
[2022-05-23 15:36:38,703] INFO: Processing #1/7
[2022-05-23 15:37:07,248] INFO: Processing #1/7
[2022-05-23 15:38:07,097] ERROR: No requests could be made to https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 15:38:11,367] ERROR: No requests could be made to https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b
[2022-05-23 15:38:18,722] INFO: Processing #1/7
[2022-05-23 15:44:06,507] INFO: Processing #1/7
[2022-05-23 15:44:09,899] INFO: Processing #2/7
[2022-05-23 15:44:12,924] INFO: Processing #3/7
[2022-05-23 15:44:15,842] INFO: Processing #4/7
[2022-05-23 15:44:18,556] INFO: Processing #5/7
[2022-05-23 15:44:21,444] INFO: Processing #6/7
[2022-05-23 15:44:24,184] INFO: Processing #7/7
[2022-05-23 15:44:51,980] INFO: Processing #1/7
[2022-05-23 15:44:52,597] INFO: Processing #2/7
[2022-05-23 15:44:53,784] INFO: Processing #3/7
[2022-05-23 15:44:54,476] INFO: Processing #4/7
[2022-05-23 15:44:54,882] INFO: Processing #5/7
[2022-05-23 15:44:55,227] INFO: Processing #6/7
[2022-05-23 15:44:55,791] INFO: Processing #7/7
[2022-05-23 15:45:00,551] INFO: Processing #1/7
[2022-05-23 15:45:01,056] INFO: Processing #2/7
[2022-05-23 15:45:01,543] INFO: Processing #3/7
[2022-05-23 15:45:01,914] INFO: Processing #4/7
[2022-05-23 15:45:02,303] INFO: Processing #5/7
[2022-05-23 15:45:02,911] INFO: Processing #6/7
[2022-05-23 15:45:03,471] INFO: Processing #7/7
[2022-05-23 15:54:35,639] INFO: Processing #1/7
[2022-05-23 15:54:35,687] INFO: Processing #2/7
[2022-05-23 15:54:35,717] INFO: Processing #3/7
[2022-05-23 15:54:35,750] INFO: Processing #4/7
[2022-05-23 15:54:35,789] INFO: Processing #5/7
[2022-05-23 15:54:35,813] INFO: Processing #6/7
[2022-05-23 15:54:35,837] INFO: Processing #7/7
[2022-05-23 15:56:09,402] INFO: Processing #1/7
[2022-05-23 15:56:09,425] INFO: Processing #2/7
[2022-05-23 15:56:09,459] INFO: Processing #3/7
[2022-05-23 15:56:09,487] INFO: Processing #4/7
[2022-05-23 15:56:09,518] INFO: Processing #5/7
[2022-05-23 15:56:09,552] INFO: Processing #6/7
[2022-05-23 15:56:09,592] INFO: Processing #7/7
[2022-05-23 16:00:30,682] INFO: Processing #1/7
[2022-05-23 16:00:30,887] INFO: Processing #2/7
[2022-05-23 16:00:31,075] INFO: Processing #3/7
[2022-05-23 16:00:31,375] INFO: Processing #4/7
[2022-05-23 16:00:31,573] INFO: Processing #5/7
[2022-05-23 16:00:31,987] INFO: Processing #6/7
[2022-05-23 16:00:32,171] INFO: Processing #7/7
[2022-05-23 16:00:50,045] INFO: Processing #1/7
[2022-05-23 16:00:55,316] INFO: Processing #2/7
[2022-05-23 16:01:01,508] INFO: Processing #3/7
[2022-05-23 16:01:02,571] INFO: Processing #4/7
[2022-05-23 16:06:26,917] INFO: Processing #1/7
[2022-05-23 16:06:50,886] INFO: Processing #1/7
[2022-05-23 16:09:00,474] INFO: Processing #1/7
[2022-05-23 16:10:28,104] INFO: Processing #1/7
[2022-05-23 17:12:49,112] INFO: Processing search page #0/7
[2022-05-23 17:12:57,068] INFO: Processing sub page #9/['75']
[2022-05-23 17:13:41,261] INFO: Processing search page #1/7
[2022-05-23 17:13:50,445] INFO: Processing sub page #10/75
[2022-05-23 17:14:01,359] INFO: Processing sub page #20/75
[2022-05-23 17:14:12,570] INFO: Processing sub page #30/75
[2022-05-24 14:17:07,593] INFO: hello
[2022-05-26 16:11:59,899] ERROR: No source is configured for https://google.com
[2022-05-26 16:12:41,765] ERROR: No source is configured for https://google.com
[2022-05-26 16:12:41,765] INFO: Scraping https://google.com failed
[2022-05-26 16:19:58,476] INFO: Scraping https://google.com failed
[2022-05-26 16:23:15,007] INFO: Scraping https://google.com failed
[2022-05-26 16:44:40,864] ERROR: //div could not be resolved into a string... skipping
[2022-05-26 16:45:15,014] ERROR: //div could not be resolved into a string... skipping
[2022-05-26 16:45:15,014] INFO: Skipping
[2022-05-27 09:20:24,508] ERROR: No source is configured for https://google.com... skipping
[2022-05-27 09:20:24,510] INFO: Scraping https://google.com failed
[2022-05-27 09:22:23,241] ERROR: No source is configured for https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b... skipping
[2022-05-27 09:22:23,242] INFO: Scraping https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b failed
[2022-05-27 09:28:28,390] INFO: Processing #1/2
[2022-05-27 09:28:29,699] INFO: Processing #2/2
[2022-05-27 09:29:32,472] INFO: Processing #1/2
[2022-05-27 09:29:33,898] INFO: Processing #2/2
[2022-05-27 09:30:23,253] INFO: Processing #1/2
[2022-05-27 09:30:24,428] INFO: Processing #2/2
[2022-05-27 09:41:44,763] INFO: Processing #1/7
[2022-05-27 09:41:44,890] INFO: Processing #2/7
[2022-05-27 09:41:44,980] INFO: Processing #3/7
[2022-05-27 09:41:46,033] INFO: Processing #4/7
[2022-05-27 09:41:46,135] INFO: Processing #5/7
[2022-05-27 09:41:46,300] INFO: Processing #6/7
[2022-05-27 09:41:47,219] INFO: Processing #7/7
[2022-05-27 09:50:16,491] ERROR: Driver instances cannot be run in parallel CRITICAL - QUITTING
[2022-05-27 09:50:37,821] ERROR: Driver instances cannot be run in parallel... CRITICAL - QUITTING
[2022-05-27 09:51:27,006] INFO: Processing #5/7
[2022-05-27 10:09:30,563] ERROR: Proxy file at adsfvv.gkk not found. Ignoring
[2022-05-27 11:27:24,411] INFO: Processing #2/2
[2022-05-27 11:36:06,133] ERROR: No source is configured for https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b... skipping
[2022-05-27 11:36:06,134] INFO: Scraping https://www.amazon.com/s?k=%22university+of%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b failed
[2022-05-27 11:36:06,134] ERROR: No source is configured for https://www.amazon.com/s?k=%22economic%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b... skipping
[2022-05-27 11:36:06,134] INFO: Scraping https://www.amazon.com/s?k=%22economic%22&i=stripbooks&s=daterank&Adv-Srch-Books-Submit.x=26&Adv-Srch-Books-Submit.y=20&field-datemod=5&field-dateop=During&field-dateyear=2022&unfiltered=1&ref=sr_adv_b failed
[2022-05-27 11:36:06,134] INFO: Processing #2/2
[2022-05-27 11:38:43,738] INFO: Processing #2/2
[2022-05-27 12:11:27,459] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-27 12:11:29,897] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-27 12:11:32,311] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-27 12:11:35,045] ERROR: Captcha hit on https://onlinelibrary.wiley.com/doi/10.1111/petr.14281
[2022-05-27 14:22:52,292] ERROR: No source is configured for h... skipping
